link,artist,artist_country,keywords,subject,styles,mediums,materials,list_price,category,height,width,depth
/art/Painting-Uncanny-I/155384/2488851/view,Yiota Kotika,Greece,"sad, tears, no, eyes, face, lips",Portrait,"Fine Art, Photorealism, Realism","Acrylic, pencils",Canvas,$445.00,Painting,11.8  H, 9.4  W, 1.6 
/art/Painting-Bipolar/311546/2121764/view,Michael Hayter,United Kingdom,"surreal, mental health, colour, fantasy, figures, landscape, madness",Body,"Figurative, Expressionism, Fine Art","Oil, Ink, Acrylic, Saliva, Urine","Canvas, Wood",$3350.00,Painting,71.7  H, 70.9  W, 2 
/art/Painting-Ultramarine-Traces/486818/3107589/view,Aleksandra Toborowicz,Poland,"bird, blue, traces, ultramarine, white, abstract, abstraction, horizontal, ykblue",Abstract,"Abstract, Abstract Expressionism, Expressionism, Fine Art, Modern","Acrylic, Watercolor",Paper,$5410.00,Painting,27.6  H, 39.4  W, 0 
/art/Painting-Shaolin/993012/3671205/view,Aibek Begalin,United States,"shaolin, realism, fine art, oil painting, oil on canvas, Original Painting, china, handmade painting, one of a kind art, martial arts, realistic landscape, landscape",Landscape,"Figurative, Fine Art, Photorealism, Realism, Impressionism",Oil,Canvas,$1920.00,Painting,30  H, 40  W, 0.7 
/art/Painting-Symbiosis-II/350258/3512342/view,Joanna Ml*cka,Poland,"red, square, composition, floral, forest, green, nature",Floral,"Abstract, Fine Art, Realism, Surrealism, Figurative",Oil,Canvas,$760.00,Painting,15.7  H, 15.7  W, 1 
/art/Painting-Jungle-of-Dodo-I/742458/3287361/view,Sunwoo Kim,South Korea,"painting, bird, aritst, dodo, forest, sunwookim, green, jungle",Animal,"Fine Art, Illustration, Pop Art",Gouache,Canvas,$2150.00,Painting,39.4  H, 31.7  W, 1 
/art/Painting-Love-plants/944194/3369245/view,Bane Milenkovi*,Croatia,"plants, table, oil on canvas, green, orange",Botanic,Fine Art,Oil,Canvas,$8600.00,Painting,63  H, 73  W, 0.1 
/art/Painting-Couple-la-mer-couple-near-the-sea/980860/3532375/view,Mireille Rolland,France,"poetic, romantic, sensual, subtle, voluptuous, mysterious",Nude,"Figurative, Fine Art, Modern",Oil,Canvas,$3710.00,Painting,39.4  H, 31.9  W, 0.8 
/art/Painting-The-girl/859116/3682798/view,Marcin Andrzej Telega,Poland,"sadness, black,  girl,  woman, nokturn",People,Fine Art,Oil,Canvas,$1990.00,Painting,27.6  H, 19.7  W, 1 
/art/Painting-Commuters-1/76846/3062067/view,Georgia Peskett,United Kingdom,"silk, travel, underground, colour, commuters, contemporary, figurative, oil",Travel,"Figurative, Realism, Impressionism, Fine Art","Oil, wax, brush, colour, silk","Canvas, Wood",$1560.00,Painting,20  H, 20  W, 1.5 
/art/Painting-DJ-Jazzy-Geoff/883813/2978737/view,Spencer Rogers,United States,"black, blue, waterfall, white, layers",Abstract,"Abstract, Expressionism, Fine Art",Oil,Canvas,$330.00,Painting,12  H, 12  W, 1.5 
/art/Painting-sleeping-man/21327/2307619/view,Evi Panagiotakis,,"beach, sea, sleep, body, summer, sun, light, man",Body,"Fine Art, Figurative, Expressionism",Acrylic,Canvas,$3910.00,Painting,39.4  H, 59.1  W, 1.6 
/art/Painting-toby-s-cup/741158/2823418/view,will harmuth,United States,"summer, vintage, hotdogs, 1950, aqua",Popular culture,"Street Art, Fine Art, Modern, Documentary, Folk",Acrylic,Other,$2520.00,Painting,36  H, 36  W, 0.3 
/art/Painting-Sky-Fall-Nano-17/60516/3480714/view,Stephanie Ho,United Kingdom,"people, purple, rain, red, reflection, square, umbrella, white, city, crowd, lowry",People,"Figurative, Fine Art",Oil,Canvas,$345.00,Painting,4.7  H, 4.7  W, 1.6 
/art/Painting-Triple-A/744946/2358152/view,William LaChance,United States,"painting, fine art, Pop art, street art, collage, colorful, contemporary, Folk Art, lachance, geometric",Abstract,"Abstract, Modern, Pop Art, Fine Art, Street Art","Enamel, Gouache, Acrylic",Other,$1280.00,Painting,24  H, 18  W, 2 
/art/Painting-Joy/841947/3062893/view,Tammy Silbermann,Canada,"painting, portrait, sepia, sister, teens, watercolor, child, children, family, flowers, girl, girls",People,"Figurative, Fine Art, Illustration, Impressionism, Portraiture",Watercolor,Paper,$160.00,Painting,9  H, 11.5  W, 0.1 
/art/Painting-Matters-of-the-Heart/270328/3169451/view,Casey Matthews,United States,"quiet, red, blue, water, watery, white, charcoal, gray, grey, minimal, orange",Abstract,"Abstract, Abstract Expressionism, Fine Art","Gouache, Ink, Acrylic, Charcoal, Marker",Canvas,$1170.00,Painting,24  H, 24  W, 2.5 
/art/Painting-sleeping-mama/703783/2374496/view,Aya El Fallah,Egypt,"portrait, sleep, woman, famlly, figure",Women,"Figurative, Fine Art, Expressionism, Impressionism, Portraiture",Oil,Paper,$295.00,Painting,12.6  H, 15.7  W, 0.4 
/art/Painting-Bubble-gum-August/773832/3633232/view,Amy Weil,United States,"rectangles, square, windows, circles, colorful, energy, fun, large",Abstract,"Abstract, Modern, Fine Art","encaustic, Paper, Wax",Wood,$4770.00,Painting,40  H, 40  W, 2 
/art/Painting-O-T-721/730203/2681184/view,Stefan Reiss,Germany,"black & white, Constructivism, conceptual, geometric, minimal",Abstract,"Abstract, Conceptual, Fine Art, Minimalism, Modern","Oil, Spray Paint",Canvas,$4610.00,Painting,47.2  H, 63  W, 1.6 
/art/Painting-landscape/737241/3499647/view,Joris G*ritz,Germany,"yellow, berlin , grafitti, green, landscape",Abstract,"Abstract, Expressionism, Fine Art, Street Art, Modern",Acrylic,Canvas,$1690.00,Painting,47.2  H, 39.4  W, 1.6 
/art/Painting-Neon/742726/2230586/view,Jim Gingerich,,"newyork city, manhattan, city scape, neon lights, nightlife",Cities,"Expressionism, Fine Art, Realism",Oil,Canvas,$2970.00,Painting,20  H, 16  W, 1 
/art/Painting-Spring-3/786228/2787418/view,Soyeun Park,South Korea,"spring, street, train, korea paper, nature",Nature,"Fine Art, Abstract, Street Art","Acrylic, color ink on korean paper",Wood,$1690.00,Painting,35.4  H, 51.3  W, 1 
/art/Painting-Abstract-Aurora-Borealis/761735/3609522/view,Andrada Fesnic,Romania,"sky, blue, oil painting, aurora borealis, contemporary, abstract, green, horizon, landscape",Abstract,"Abstract, Abstract Expressionism, Fine Art, Modern, Street Art","Oil, Spray Paint",Canvas,$235.00,Painting,7.1  H, 7.9  W, 0.6 
/art/Painting-Ocean-Wave-Surf-Art-Large-Acrylic-Painting-on-Wood-Panel-Resin-Coat/964208/3609889/view,Ana Monsanto,United States,"ocean painting, surf art, Beach wave, Green Wave, Beach Painting, surf painting, ocean wave, ocean art, beach art",Beach,"Fine Art, Modern, Realism","Acrylic, Wood, Resin",Wood,$3770.00,Painting,50  H, 70  W, 2 
/art/Painting-In-the-mirror/726796/2567553/view,Bruno Angel,Colombia,"beautiful, sexy, stripes, woman, women, blackandwhite, contrast, decoration, redlips, blacklips, yellowtones",Women,"Fine Art, Modern, Pop Art",Acrylic,Canvas,$2750.00,Painting,43.3  H, 51.2  W, 1.6 
/art/Painting-design27/798571/2883282/view,Ron Halfant,United States,"absract, Palette Knife, classical, landscape, modern",Abstract,"Abstract, Abstract Expressionism, Expressionism, Fine Art, Impressionism",Acrylic,Canvas,$307.00,Painting,20  H, 16  W, 0.5 
/art/Painting-Asian-Jazz/25055/3074151/view,Ben Mosley,United Kingdom,"painting, sex, women, Picasso, fine art, asian , cubism, erotic, expressionism, expressionist, les demoiselles d'Avignon, nude",Erotic,"Cubism, Figurative, Fine Art, Expressionism, Abstract",Acrylic,Canvas,$15750.00,Painting,35  H, 35  W, 2 
/art/Painting-Dark-Forest/52548/3252204/view,Anna Matykiewicz,Ireland,"portrait, woman, dark, emotional, expression, face, nature",Portrait,"Fine Art, Pop Art, Portraiture, Street Art, Surrealism",Oil,Canvas,$1290.00,Painting,35.4  H, 27.6  W, 1.6 
/art/Painting-The-Essence/976415/3527924/view,Aria Dellcorta,Slovenia,"painting, beige, sky, space, blue, violet, Mixed Media, abstract, grey, light, modern, new",Abstract,"Abstract, Modern, Fine Art, Contemporary","Acrylic, Paint, Mixed media, Magic Light, Color",Canvas,$3650.00,Painting,39.4  H, 31.5  W, 0.8 
/art/Painting-ochtrup/338627/2295233/view,sabine bachem,Germany,"time, weather, Liverpool, madrid, Large Format Painting, foul, destruction, ochtrup, electric mast, football",Time,Fine Art,"Acrylic, Oil, Ink",Wood,$6200.00,Painting,66.9  H, 98.4  W, 2 
/art/Painting-Los-tres-carpinchos/171288/2253793/view,Diana de Molinari,Argentina,"Argentina, cuero, loro, carpincho, esteros",Animal,Fine Art,Tempera,Paper,$460.00,Painting,19.7  H, 27.6  W, 0.4 
/art/Painting-Still-life-study-2-Oranges/489960/3029099/view,david stanley,United Kingdom,"space, in, light, natural, objects",Still Life,Fine Art,Oil,Carbon Fibre,$440.00,Painting,15  H, 14  W, 0.5 
/art/Painting-Unconcious-Elan/860633/3378101/view,Chad Houtz,United States,"resonate, woman, organic form, elan, Opaque & Transparent",People,"Fine Art, Figurative",Oil,Canvas,$595.00,Painting,9  H, 12  W, 0.1 
/art/Painting-Behind-a-bush/350243/3608555/view,Hanna Ilczyszyn,Belgium,"portrait, retro, surreal, vintage, green, leafs, nature",Nature,"Figurative, Fine Art, Abstract, Portraiture, Surrealism","Acrylic, Oil",Canvas,$1840.00,Painting,35.4  H, 27.6  W, 0.8 
/art/Painting-masks-13/541143/2391669/view,Jason Lincoln Jeffers,United States,"jason lincoln jeffers, jason lincoln jeffers art, jeffers art, buy jeffers art, buy jason lincoln jeffers art",Abstract,"Abstract, Abstract Expressionism, Expressionism, Fine Art, Modern",Oil,Paper,$765.00,Painting,23  H, 30  W, 0.2 
/art/Painting-Memories/82798/2673539/view,Gennaro Santaniello,Italy,"passion, portrait, woman, women, impressinism, memories, memory, modern",Women,"Impressionism, Figurative, Modern, Minimalism, Fine Art",Oil,Canvas,$1740.00,Painting,19.7  H, 23.6  W, 0.5 
/art/Painting-A-far-away-place/498648/3271504/view,Lucia Garcia Corrales,United Kingdom,"pink, sky, snow, blue, white, contemporary, abstract, atmosphere, lake, landscape, modern, orange",Abstract,"Abstract, Minimalism, Modern, Fine Art",Acrylic,Canvas,$2490.00,Painting,31.9  H, 39.4  W, 0.8 
/art/Painting-Chinook-Totem/44839/3322911/view,Marina Nelson,Canada,"chinook, totem, atmosphere, dragged color, layers",Abstract,"Abstract Expressionism, Conceptual, Fine Art, Minimalism","Acrylic, Watercolor",Canvas,$800.00,Painting,40  H, 20  W, 1.8 
/art/Painting-AG-1605/991888/3635432/view,Anteo Gremi,Albania,"fine art, conceptual, contemporary, cubism, expressionism, abstract, modern",Abstract,"Abstract, Abstract Expressionism, Cubism, Fine Art, Modern",Oil,Canvas,$2290.00,Painting,27.6  H, 31.5  W, 0.8 
/art/Painting-The-Seed/411139/3256319/view,ivana flores,Spain,"painting, whimsical, ivanaflores, lowbrow, oniric, colors, lowbrowart, artcollectors, popsurrealism, original",People,"Fine Art, Surrealism",Acrylic,Canvas,$3370.00,Painting,39.4  H, 39.4  W, 1.2 
/art/Painting-63/392396/2750173/view,sonya shmyk,Russia,"project, A5, social, watercolor, culture, 2015, emotions, bodypositive, Selfharm",Body,"Conceptual, Expressionism, Fine Art, Illustration, Impressionism",Watercolor,Paper,$275.00,Painting,8.3  H, 5.8  W, 0.4 
/art/Painting-20something-ELSEWHERE-in-Cerulean/817569/3552776/view,Lioda Conrad Fine Art,South Africa,"people, smoke, blue, AFRICAN PORTRAIT, fumage, fire, girl, lioda conrad",Portrait,"Expressionism, Fine Art, Portraiture","Kinetic, Manipulated, New Media, Acrylic",Paper,$1045.00,Painting,28.3  H, 21.3  W, 0 
/art/Painting-Sunset-in-Greece/286295/3641929/view,chris lock,United Kingdom,"blues, stormy, sunset, textured, yellows",Landscape,"Abstract, Abstract Expressionism, Expressionism, Fine Art",Oil,Canvas,$880.00,Painting,23.6  H, 23.6  W, 0.8 
/art/Painting-6-9985/339671/2206522/view,Junsoo Kim,South Korea,"painting, body, Menartist, 6 9985, expressive, abstract",Body,"Abstract Expressionism, Abstract, Fine Art",Oil,Canvas,$7050.00,Painting,64  H, 51  W, 2 
/art/Painting-The-Barely-Visible/311324/2236782/view,Carla Sa Fernandes,Portugal,"painting, black, blue, spontaneous, white, oil pastel, the barely visible, abstract, gold, carla sa fernandes, intuitive, oil",Abstract,"Abstract, Fine Art, Modern","Oil, Oil Pastel",Canvas,$2750.00,Painting,27.6  H, 39.4  W, 1.6 
/art/Painting-The-Night-Life/989327/3648236/view,Tony Stromas,United States,"oil painting, arcylic, water colors, abstract, lithograph",Abstract,"Abstract, Abstract Expressionism, Fine Art, Illustration","Airbrush, Oil, Acrylic, Enamel, Lithograph","Canvas, Bronze, Wood, Paper, Plastic",$8500.00,Painting,48  H, 106  W, 1 
/art/Painting-Lately-Things-Don-t-Seem-The-Same/2732/2435690/view,Trisha Lambi,Australia,"painting, purple, umbrella, contemporary, figurative, haze, jetty, mist, misty, oil, original",People,"Figurative, Fine Art, Modern",Oil,"Soft (Yarn, Cotton, Fabric)",$2350.00,Painting,35.4  H, 23.6  W, 1.6 
/art/Painting-Night-Lamp/423599/3611229/view,Alyson Khan,United States,"pink, hardedge, black, strong, vertical, white, yellow, feminine, geometric, hypnotic, ochre",Abstract,"Abstract, Fine Art",Acrylic,Canvas,$2770.00,Painting,48  H, 36  W, 2 
/art/Painting-The-Red-Carpet/5961/2355903/view,Rusudan Khizanishvili,Georgia,"rooms, shine, carpet, grey walls, house",Interiors,"Fine Art, Modern, Minimalism",Acrylic,Canvas,$2750.00,Painting,19.7  H, 19.7  W, 1.2 
/art/Painting-Heron/840822/3246111/view,Paul Morrow,United Kingdom,"blue, white, yellow, gestural, expressive, abstract, layered",Abstract,"Abstract, Abstract Expressionism, Expressionism, Fine Art",Acrylic,Wood,$880.00,Painting,24.8  H, 23.2  W, 0.8 
/art/Painting-Floral-Squid/780122/2473282/view,Yuki Vlasaty,United States,"patterns, watercolor, drip, abstract, floral, ink, octopus",Animal,"Abstract, Abstract Expressionism, Fine Art, Modern, Illustration","Ink, Watercolor",Paper,$430.00,Painting,17  H, 11  W, 0.5 
/art/Painting-The-Red-Forest/342700/3072035/view,Noel Donaldson,United States,"acrylic, painting, red, texture, new york, Mixed Media, street art, african, canvas, abstract, gray, 4 feet",Abstract,"Abstract, Abstract Expressionism, Expressionism, Fine Art, Street Art",Acrylic,Canvas,$3070.00,Painting,55  H, 48  W, 1 
/art/Painting-Blue-Shutters/286295/3642164/view,chris lock,United Kingdom,"blues, textured, white, impasto, payne grey, greens",Abstract,"Abstract, Abstract Expressionism, Expressionism, Fine Art",Oil,Canvas,$1790.00,Painting,39.4  H, 39.4  W, 0.8 
/art/Painting-Flux/700395/2171210/view,Martin Sloan,United Kingdom,"shape, colour, abstract, figurative, form, landscape, movement",Landscape,"Abstract, Abstract Expressionism, Fine Art","Oil, Acrylic",Canvas,$6400.00,Painting,61  H, 61  W, 0.8 
/art/Painting-Abstract-Abstract-Mountain/827227/3566267/view,Jan Sullivan Fowler,United States,"ethreal, landscape, large, mountains, nature",Landscape,"Abstract, Fine Art","Acrylic, Paper",Paper,$7399.00,Painting,48  H, 48  W, 1.5 
/art/Painting-Girls/708751/3219923/view,Alex Kost,Russia,"windows, woman, The Body, girls, models",Body,Fine Art,Oil,Canvas,$5410.00,Painting,15.7  H, 23.6  W, 0.8 
/art/Painting-Portal-No-34/247156/2337380/view,Abel macias,,"portal, surreal, texture, color, green, landscape",Landscape,"Abstract, Fine Art, Folk, Surrealism","oil, wood",Wood,$380.00,Painting,7  H, 6  W, 2 
/art/Painting-Nocturnal-Park/314224/1359588/view,Ad van Riel,Netherlands,"park, sky, blue, green, night",Landscape,"Figurative, Fine Art","Oil, Acrylic",Canvas,$1740.00,Painting,23.6  H, 31.5  W, 0.8 
/art/Painting-Roses-in-a-Glass/674072/2609699/view,Igor Navrotskyi,Slovakia,"pink, red, rose, white, burgun",Botanic,"Abstract Expressionism, Art Deco, Modern, Fine Art",Oil,Canvas,$1340.00,Painting,31.5  H, 27.6  W, 0.8 
/art/Painting-My-wall-is-up/950499/3338958/view,Alejandro Peraza,United States,"mid century, relax, hollywood hills, soft hues, unique, fine art, calm, modern art, warm colors, Beverly Hills, smokey, post & beam",Abstract,"Abstract, Modern, Fine Art, Minimalism, Cubism",mixed media,Canvas,$4270.00,Painting,60  H, 36  W, 1.5 
/art/Painting-golden-angels-spread-their-wings/520468/2638892/view,Albert Scharf,United States,"painting, sky, blue, sunrise, sunset, water, fine art, clouds, cool, landscape/skyscape, gold, metallic",Landscape,"colorist, tonalist, contemporary, Fine Art, Impressionism","Oil, metallic paint, varnish",Canvas,$10400.00,Painting,42  H, 54  W, 1 
/art/Painting-Sungate-to-Tori-gate-I/313348/2679959/view,justine formentelli,United Kingdom,"temple, wandering, Japan, crossing, fox, Tori gate, traveling East, threashold, Fushimi Inari Shrine",Travel,Fine Art,Acrylic,Paper,$345.00,Painting,11.7  H, 8.3  W, 0.1 
/art/Painting-Sleeping-Model/822986/2924039/view,Frank Bruckmann,United States,"painterly, sensuous, woman, fine art, meg, Sumptuous, short hair, figure, asleep, nude",Women,"Figurative, Fine Art",Oil,Canvas,$910.00,Painting,9  H, 12  W, 2 
/art/Painting-Bring-Me-Up-to-Speed/270328/3256497/view,Casey Matthews,United States,"blue, teal, turquoise, water, coast, coastal, aqua, aquamarine, paynes, gray, grey, navy",Abstract,"Abstract, Fine Art","Acrylic, Gouache, Ink, Marker, crayon",Canvas,$5220.00,Painting,60  H, 48  W, 1.5 
/art/Painting-Coca-Cola-Bottle-Can/720871/2875553/view,Claude Charlier,United States,"red, fine art, Pop art, coca cola, americana",Food & Drink,"Fine Art, Pop Art, Photorealism, Pop Art","Acrylic, iron pigments",Canvas,$2960.00,Painting,18  H, 14  W, 0.5 
/art/Painting-Daughter-Adrift-on-my-Shoulder/975107/3643326/view,meg aiken,United States,"women, fineart, child, conceptual, gray, contemporaryart, baby, love, marycassatt, modern, moody, mother",Women,"Portraiture, Conceptual, Figurative, Fine Art, Modern",Oil,Wood,$1920.00,Painting,20  H, 16  W, 2 
/art/Painting-cabin-in-the-pines/43688/3574651/view,Daisy Clarke,United Kingdom,"pines, reflection, snow, cabin, forest",Landscape,Fine Art,Oil,Canvas,$560.00,Painting,14  H, 10  W, 1 
/art/Painting-Tangerine/387673/2622712/view,Jose Higuera,Spain,"realism, reflex, tangerine, still life, fruit",Still Life,"Realism, Fine Art",Oil,Canvas,$3050.00,Painting,19.7  H, 24  W, 0.4 
/art/Painting-Foris/949546/3470010/view,Scott Cirlin,United States," blue,  abstract,  original, green,  canvas board, modern",Abstract,"Abstract, Abstract Expressionism, Expressionism, Fine Art, Modern","Acrylic, Household, Color, Pastel",Wood,$335.00,Painting,16  H, 16  W, 1.5 
/art/Painting-Skim/988889/3590689/view,Krista Taylor,United Kingdom,"blue, splash, stone, stream, textured, water, cornwall, cornish, skim",Abstract,"Abstract, Fine Art, Expressionism, Modern",Oil,Canvas,$1700.00,Painting,15.7  H, 47.2  W, 1.6 
/art/Painting-Next-Year/553993/2107595/view,Owen Normand,Germany,"painting, tree, view, woman, italy, dress, hat, landscape",Landscape,"Expressionism, Figurative, Fine Art, Impressionism",Oil,Wood,$1340.00,Painting,15.7  H, 11.8  W, 0.1 
/art/Painting-On-The-Beach-Walking-On-Sunshine/324901/2823429/view,Mona Hoel,,"beach, painting, palm, people, summer, water, contemporary, abstract, figurative, modern, oil, orange",Seascape,"Modern, Fine Art, Abstract, Figurative","Oil, Acrylic, Ink, Charcoal",Canvas,$3680.00,Painting,35.4  H, 35.4  W, 2 
/art/Painting-Cotinis-mutabilis/997062/3659187/view,shanna yates,United States,"painting, photograph, beetle, wings, oilpainting, photorealism, contemporary, art, insects, investigation, life, ecognosis",Animal,"Photorealism, Conceptual, Minimalism, Modern, Fine Art",Oil,Canvas,$1380.00,Painting,20  H, 20  W, 1.5 
/art/Painting-Blue-Sensation/3055/2862469/view,Hildegarde Handsaeme,Belgium,"hildegarde handsaeme, white, fine art, belgian artist, bleu, art, modern",Women,"Cubism, Figurative, Fine Art, Modern, Abstract",Acrylic,Canvas,$3300.00,Painting,27.6  H, 35.4  W, 1.6 
/art/Painting-immigration-2/400325/3198888/view,Kopp*ny *rnyas,Norway,"pixel, bird, tree, digitalart, digital, forest, glitch, immigrant, immigration, landscape",Landscape,"Abstract, Expressionism, Realism, Modern, Fine Art","Acrylic, Spray Paint",Paper,$830.00,Painting,19.7  H, 27.6  W, 0 
/art/Painting-Saeptum/949546/3575810/view,Scott Cirlin,United States,"reds, multicolor, abstract, layers, modern, original",Abstract,"Abstract, Abstract Expressionism, gestural, Fine Art, Modern","Acrylic, Marker, Pastel, Pencil, Gesso",Canvas,$750.00,Painting,24  H, 30  W, 1.5 
/art/Painting-Solar-Flux-abstract-N-1534/91068/2942621/view,Koen Lybaert,Belgium,"solar, yellow, abstract, flux, layered, orange",Abstract,"Abstract, Fine Art, Abstract Expressionism",Oil,Canvas,$655.00,Painting,19.7  H, 19.7  W, 0.2 
/art/Painting-Earthbound/10280/2734402/view,Janet STRAYER,Canada,"gestural, colorfield, contemporary, abstract, janetstrayer.com, autumn, landscape, modern, nature",Abstract,"Abstract, Abstract Expressionism, Fine Art, Modern, Impressionism",Acrylic,Canvas,$2560.00,Painting,40  H, 30  W, 1 
/art/Painting-Rainy-Day/823783/2675717/view,Michele West,United States,"painting, rust, turquiose, abstract, Michele West, gold",Abstract,"Abstract, Abstract Expressionism, Conceptual, Expressionism, Fine Art",Oil,Canvas,$880.00,Painting,20  H, 20  W, 1 
